"","date_fmt","united_kingdom","great_britain","england","wales","scotland","northern_ireland_note_3","north_east","north_west","yorkshire_and_the_humber","east_midlands","west_midlands","east","london","south_east","south_west"
"1",2011-01-01,154113,155288,164697,120980,124856,112639,110800,120876,121396,131361,140278,187409,308301,218315,182406
"2",2011-02-01,153297,154453,164101,121161,121170,112639,110514,120001,123137,132133,138359,185272,305350,218828,181130
"3",2011-03-01,152591,153729,163378,118483,121416,112639,109475,118899,120256,131333,137136,186529,307347,217406,181050
"4",2011-04-01,154958,156195,165687,122354,124954,110858,113001,120511,124045,132018,139389,187388,314735,219824,181691
"5",2011-05-01,154269,155489,164910,121278,124938,110858,113513,119816,123973,132368,139514,187664,304810,220226,180882
"6",2011-06-01,154530,155756,165071,121453,126264,110858,113222,119566,122632,132685,139624,187093,306078,220815,182891
"7",2011-07-01,156476,157796,167266,121731,128400,108933,111277,121233,123457,134868,139985,189751,316716,223680,184599
"8",2011-08-01,156570,157893,167428,122518,127523,108933,110658,122225,124601,135410,139984,190567,315709,222006,185275
"9",2011-09-01,156179,157492,166907,124054,126976,108933,110918,121416,123816,133771,141393,188774,316197,222908,182896
"10",2011-10-01,154456,155799,165385,120911,124255,105870,109974,120674,121648,132402,138671,188720,312887,219955,183152
"11",2011-11-01,154533,155879,165412,123484,123373,105870,110721,118507,122217,132729,139641,189577,311570,221389,182349
"12",2011-12-01,153880,155209,165046,120627,121178,105870,109112,119152,121997,133580,137537,188765,312906,221026,180895
"13",2012-01-01,152831,154534,164449,120342,120989,99094,106921,117050,119314,131314,138919,189852,315128,219302,183323
"14",2012-02-01,152415,154105,164432,119610,117292,99094,107716,118474,120390,131057,137525,188281,313010,220135,183044
"15",2012-03-01,152866,154571,164584,119522,120685,99094,110337,118948,121015,131946,138639,187072,310866,220747,181525
"16",2012-04-01,154623,156374,166680,121352,120417,99355,109778,119380,120521,133308,138363,190794,320165,224907,184271
"17",2012-05-01,155121,156889,167136,121528,121688,99355,109371,118612,122024,133126,138015,191630,325535,225195,183733
"18",2012-06-01,156645,158460,168713,123077,123523,99355,111115,120801,123282,134289,141449,191456,328471,226072,185129
"19",2012-07-01,157246,159168,169714,122468,122685,96609,110824,120075,123459,135757,141148,194079,330760,228480,186786
"20",2012-08-01,157431,159360,170066,122012,121958,96609,113295,121104,124037,134611,141150,194117,331918,229580,185340
"21",2012-09-01,156871,158782,169532,121152,121080,96609,111825,120949,122905,134099,140984,192957,330232,230180,184995
"22",2012-10-01,155761,157712,168445,120138,119920,94301,110557,118182,121624,134228,139530,193648,332172,226623,185136
"23",2012-11-01,155888,157843,168681,121625,118524,94301,110483,119974,122630,134340,140755,192932,330308,226257,184755
"24",2012-12-01,155534,157477,168440,120386,117574,94301,108670,118987,122079,133825,141135,191994,335880,227569,181353
"25",2013-01-01,154495,156481,166938,120804,117973,92202,107464,115931,118140,132438,138856,192142,333332,226909,183206
"26",2013-02-01,154465,156450,167304,119021,115650,92202,105972,118279,120571,132498,139301,190370,335672,225549,182642
"27",2013-03-01,155385,157401,168234,120226,116783,92202,108955,118157,120177,133425,139792,194147,334322,226994,183856
"28",2013-04-01,156909,158917,169850,119939,118758,93906,109114,118665,120459,134150,140115,194595,343563,229580,186599
"29",2013-05-01,157736,159772,170531,121804,120633,93906,109606,119195,122386,135785,141065,193843,345065,230065,186128
"30",2013-06-01,159045,161124,171916,122504,122327,93906,109413,120605,123042,136126,143119,196002,347414,232729,186532
"31",2013-07-01,160830,162906,173979,121672,123580,95738,112174,120710,123746,137251,143967,199137,356482,235515,188269
"32",2013-08-01,162110,164229,175271,123888,124889,95738,113740,122403,124181,138691,145234,200041,359430,236276,189653
"33",2013-09-01,162217,164339,175686,123171,122961,95738,112720,122287,125379,138231,143463,199877,364517,236916,191153
"34",2013-10-01,161554,163631,175003,121282,122611,96414,106785,120126,123271,139089,144768,201547,364036,237086,190381
"35",2013-11-01,162450,164557,175855,123119,123781,96414,110180,121021,124027,138201,145071,200471,368002,239013,190595
"36",2013-12-01,163942,166098,178011,121748,122231,96414,110007,122233,125434,140532,145562,205065,376865,240777,191692
"37",2014-01-01,164137,166369,177748,124609,122220,98014,108358,120781,123797,139876,145700,203602,380935,242778,191343
"38",2014-02-01,164818,167074,178769,125315,120322,98014,108598,122252,125717,141302,144826,205151,383125,243134,192051
"39",2014-03-01,165385,167661,179421,123531,121877,98014,110048,121034,124055,141019,146712,206108,386898,245206,193627
"40",2014-04-01,169065,171352,183399,125605,124711,101289,111939,124342,127562,143784,148662,210280,401818,248969,196976
"41",2014-05-01,170856,173207,185212,128324,126714,101289,112221,124825,128358,144447,149120,213895,409706,253291,196985
"42",2014-06-01,172331,174734,186892,127844,128414,101289,114685,126439,128390,145839,151047,215704,414499,255353,197646
"43",2014-07-01,174755,177172,189606,128366,130067,103263,114743,127145,129943,146999,151370,219457,426870,259645,201750
"44",2014-08-01,176803,179292,192042,129444,130465,103263,114790,128635,131536,149286,153762,221782,433311,263224,204353
"45",2014-09-01,176993,179489,192263,130873,129726,103263,113770,128468,129715,149507,153226,223836,432150,265157,205994
"46",2014-10-01,176731,179161,191952,129368,129927,104809,112226,127847,130492,148455,153143,224885,430684,265506,204759
"47",2014-11-01,176137,178546,191380,129622,128308,104809,112377,127364,130165,148299,153006,223944,429081,264953,203453
