"","date_fmt","united_kingdom"
"1",2011-01-01,154113
"2",2011-02-01,153297
"3",2011-03-01,152591
"4",2011-04-01,154958
"5",2011-05-01,154269
"6",2011-06-01,154530
"7",2011-07-01,156476
"8",2011-08-01,156570
"9",2011-09-01,156179
"10",2011-10-01,154456
"11",2011-11-01,154533
"12",2011-12-01,153880
"13",2012-01-01,152831
"14",2012-02-01,152415
"15",2012-03-01,152866
"16",2012-04-01,154623
"17",2012-05-01,155121
"18",2012-06-01,156645
"19",2012-07-01,157246
"20",2012-08-01,157431
"21",2012-09-01,156871
"22",2012-10-01,155761
"23",2012-11-01,155888
"24",2012-12-01,155534
"25",2013-01-01,154495
"26",2013-02-01,154465
"27",2013-03-01,155385
"28",2013-04-01,156909
"29",2013-05-01,157736
"30",2013-06-01,159045
"31",2013-07-01,160830
"32",2013-08-01,162110
"33",2013-09-01,162217
"34",2013-10-01,161554
"35",2013-11-01,162450
"36",2013-12-01,163942
"37",2014-01-01,164137
"38",2014-02-01,164818
"39",2014-03-01,165385
"40",2014-04-01,169065
"41",2014-05-01,170856
"42",2014-06-01,172331
"43",2014-07-01,174755
"44",2014-08-01,176803
"45",2014-09-01,176993
"46",2014-10-01,176731
"47",2014-11-01,176137
"48",2014-12-01,176561
"49",2015-01-01,175636
"50",2015-02-01,175785
"51",2015-03-01,176439
"52",2015-04-01,177994
"53",2015-05-01,179917
"54",2015-06-01,181289
"55",2015-07-01,184365
"56",2015-08-01,186053
"57",2015-09-01,186435
"58",2015-10-01,186689
"59",2015-11-01,188125
"60",2015-12-01,188767
"61",2016-01-01,189268
"62",2016-02-01,189352
"63",2016-03-01,191298
"64",2016-04-01,192013
"65",2016-05-01,194250
"66",2016-06-01,196106
"67",2016-07-01,198169
"68",2016-08-01,198186
"69",2016-09-01,197883
"70",2016-10-01,197230
"71",2016-11-01,198157
"72",2016-12-01,198513
"73",2017-01-01,198276
"74",2017-02-01,198695
"75",2017-03-01,198270
"76",2017-04-01,201407
"77",2017-05-01,202616
"78",2017-06-01,204347
"79",2017-07-01,207005
"80",2017-08-01,207944
"81",2017-09-01,207167
"82",2017-10-01,207349
"83",2017-11-01,206760
"84",2017-12-01,207568
"85",2018-01-01,206844
"86",2018-02-01,207385
"87",2018-03-01,206133
"88",2018-04-01,208103
"89",2018-05-01,208953
"90",2018-06-01,210355
"91",2018-07-01,212963
"92",2018-08-01,213618
"93",2018-09-01,213210
"94",2018-10-01,212986
"95",2018-11-01,212077
"96",2018-12-01,211621
"97",2019-01-01,210317
"98",2019-02-01,209787
"99",2019-03-01,209202
"100",2019-04-01,210718
"101",2019-05-01,211005
"102",2019-06-01,211915
"103",2019-07-01,214282
"104",2019-08-01,214971
"105",2019-09-01,215127
"106",2019-10-01,214559
"107",2019-11-01,213801
"108",2019-12-01,213521
"109",2020-01-01,213657
"110",2020-02-01,212429
"111",2020-03-01,214344
"112",2020-04-01,212160
"113",2020-05-01,213258
"114",2020-06-01,216208
"115",2020-07-01,218030
"116",2020-08-01,220163
"117",2020-09-01,222511
"118",2020-10-01,224377
"119",2020-11-01,226675
"120",2020-12-01,228446
"121",2021-01-01,228417
"122",2021-02-01,229067
"123",2021-03-01,232463
"124",2021-04-01,228979
"125",2021-05-01,230532
"126",2021-06-01,242777
"127",2021-07-01,231386
"128",2021-08-01,238403
"129",2021-09-01,245371
"130",2021-10-01,239236
"131",2021-11-01,243930
"132",2021-12-01,245189
"133",2022-01-01,248031
"134",2022-02-01,248309
"135",2022-03-01,249232
"136",2022-04-01,252167
"137",2022-05-01,255040
"138",2022-06-01,258118
"139",2022-07-01,262904
"140",2022-08-01,265124
"141",2022-09-01,265727
"142",2022-10-01,265693
"143",2022-11-01,265299
"144",2022-12-01,263190
"145",2023-01-01,260941
"146",2023-02-01,258788
"147",2023-03-01,255885
"148",2023-04-01,256479
"149",2023-05-01,257330
"150",202-06-01,258275
"151",202-07-01,261182
"152",2023-08-01,262602
"153",2023-09-01,261318
"154",2023-10-01,260129
"155",2023-11-01,258368
"156",2023-12-01,256177
"157",2024-01-01,255972
"158",2024-02-01,254633
"159",2024-03-01,255082
"160",2024-04-01,256478
"161",2024-05-01,258565
"162",2024-06-01,259585
"163",2024-07-01,262479
"164",2024-08-01,265105
"165",2024-09-01,264859
"166",2024-10-01,265946
"167",2024-11-01,265683
"168",2024-12-01,265524
"169",2025-01-01,265456
"170",2025-02-01,266303
"171",2025-03-01,269673
"172",2025-04-01,262718
"173",2025-05-01,264962
"174",2025-06-01,269040
"175",2025-07-01,269735
