"","datef","metric","percent"
"1",2005-01-01,"YoY_perc_change",NA
"2",2005-01-01,"MoM_perc_change",NA
"3",2005-02-01,"YoY_perc_change",NA
"4",2005-02-01,"MoM_perc_change",-0.1
"5",2005-03-01,"YoY_perc_change",NA
"6",2005-03-01,"MoM_perc_change",0.82
"7",2005-04-01,"YoY_perc_change",NA
"8",2005-04-01,"MoM_perc_change",1.42
"9",2005-05-01,"YoY_perc_change",NA
"10",2005-05-01,"MoM_perc_change",1.07
"11",2005-06-01,"YoY_perc_change",NA
"12",2005-06-01,"MoM_perc_change",0.79
"13",2005-07-01,"YoY_perc_change",NA
"14",2005-07-01,"MoM_perc_change",1.29
"15",2005-08-01,"YoY_perc_change",NA
"16",2005-08-01,"MoM_perc_change",0.41
"17",2005-09-01,"YoY_perc_change",NA
"18",2005-09-01,"MoM_perc_change",-0.16
"19",2005-10-01,"YoY_perc_change",NA
"20",2005-10-01,"MoM_perc_change",-0.2
"21",2005-11-01,"YoY_perc_change",NA
"22",2005-11-01,"MoM_perc_change",0.3
"23",2005-12-01,"YoY_perc_change",NA
"24",2005-12-01,"MoM_perc_change",0.55
"25",2006-01-01,"YoY_perc_change",6.2
"26",2006-01-01,"MoM_perc_change",-0.15
"27",2006-02-01,"YoY_perc_change",6.47
"28",2006-02-01,"MoM_perc_change",0.16
"29",2006-03-01,"YoY_perc_change",6.46
"30",2006-03-01,"MoM_perc_change",0.81
"31",2006-04-01,"YoY_perc_change",7.25
"32",2006-04-01,"MoM_perc_change",2.17
"33",2006-05-01,"YoY_perc_change",7.12
"34",2006-05-01,"MoM_perc_change",0.95
"35",2006-06-01,"YoY_perc_change",7.28
"36",2006-06-01,"MoM_perc_change",0.95
"37",2006-07-01,"YoY_perc_change",7.44
"38",2006-07-01,"MoM_perc_change",1.44
"39",2006-08-01,"YoY_perc_change",7.91
"40",2006-08-01,"MoM_perc_change",0.84
"41",2006-09-01,"YoY_perc_change",8.52
"42",2006-09-01,"MoM_perc_change",0.41
"43",2006-10-01,"YoY_perc_change",9.37
"44",2006-10-01,"MoM_perc_change",0.59
"45",2006-11-01,"YoY_perc_change",9.61
"46",2006-11-01,"MoM_perc_change",0.51
"47",2006-12-01,"YoY_perc_change",10.37
"48",2006-12-01,"MoM_perc_change",1.25
"49",2007-01-01,"YoY_perc_change",10.49
"50",2007-01-01,"MoM_perc_change",-0.03
"51",2007-02-01,"YoY_perc_change",10.63
"52",2007-02-01,"MoM_perc_change",0.28
"53",2007-03-01,"YoY_perc_change",10.59
"54",2007-03-01,"MoM_perc_change",0.78
"55",2007-04-01,"YoY_perc_change",10.42
"56",2007-04-01,"MoM_perc_change",2.02
"57",2007-05-01,"YoY_perc_change",10.64
"58",2007-05-01,"MoM_perc_change",1.15
"59",2007-06-01,"YoY_perc_change",10.8
"60",2007-06-01,"MoM_perc_change",1.09
"61",2007-07-01,"YoY_perc_change",10.6
"62",2007-07-01,"MoM_perc_change",1.26
"63",2007-08-01,"YoY_perc_change",10.32
"64",2007-08-01,"MoM_perc_change",0.58
"65",2007-09-01,"YoY_perc_change",10.01
"66",2007-09-01,"MoM_perc_change",0.13
"67",2007-10-01,"YoY_perc_change",9.12
"68",2007-10-01,"MoM_perc_change",-0.23
"69",2007-11-01,"YoY_perc_change",8.5
"70",2007-11-01,"MoM_perc_change",-0.05
"71",2007-12-01,"YoY_perc_change",7
"72",2007-12-01,"MoM_perc_change",-0.16
"73",2008-01-01,"YoY_perc_change",5.11
"74",2008-01-01,"MoM_perc_change",-1.8
"75",2008-02-01,"YoY_perc_change",3.91
"76",2008-02-01,"MoM_perc_change",-0.86
"77",2008-03-01,"YoY_perc_change",2.36
"78",2008-03-01,"MoM_perc_change",-0.73
"79",2008-04-01,"YoY_perc_change",0.5
"80",2008-04-01,"MoM_perc_change",0.17
"81",2008-05-01,"YoY_perc_change",-0.03
"82",2008-05-01,"MoM_perc_change",0.61
"83",2008-06-01,"YoY_perc_change",-2.42
"84",2008-06-01,"MoM_perc_change",-1.32
"85",2008-07-01,"YoY_perc_change",-4.69
"86",2008-07-01,"MoM_perc_change",-1.09
"87",2008-08-01,"YoY_perc_change",-7.22
"88",2008-08-01,"MoM_perc_change",-2.09
"89",2008-09-01,"YoY_perc_change",-9.67
"90",2008-09-01,"MoM_perc_change",-2.52
"91",2008-10-01,"YoY_perc_change",-11.29
